gene	0h	3h	12h	24h	48h
Cdh17	9.424963463	7.101114548	4.241814053	5.81930643	6.365514896
Mcm8	5.938702856	6.040089563	5.718756555	3.334457316	2.888969341
Mt2	10.47081701	10.45939448	8.947626985	7.926786359	7.42577925
Bai2	6.65565403	5.16427904	3.079775343	3.215655755	3.615078429
affy_1435407_at	7.987295398	4.939683962	4.978909608	4.857062473	4.955267803
Myb	10.94893883	11.51897653	11.25659499	9.239408606	7.925309513
Plk4	7.420950732	9.19592926	8.423854841	5.838120659	4.397882324
Trib2	7.655763669	6.842799792	4.773241897	5.116929316	4.64906779
6720460F02Rik	6.93774415	8.665510821	8.028945822	5.734231812	3.939347034
affy_1435981_at	6.350635133	4.921925934	4.523143141	3.790539354	3.353168508
Cpn1	6.95420231	5.251489811	4.033755354	4.062501007	3.966778964
P2rx3	8.255042649	6.71204626	8.421979877	5.568076974	5.270576488
Mcm7	9.076046713	10.894301	10.20695639	6.285439781	6.091781863
affy_1426607_at	6.920561437	6.140623113	5.715941213	4.748547761	3.944000214
Prim2	9.837161061	9.054965642	8.50992847	6.941396821	6.866130387
Osgep	10.286373	9.06950574	7.693028742	7.596228978	7.315640082
C130052G03Rik	6.970824128	8.723317445	7.994882831	4.49525886	4.018545579
Timm8a1	8.903594199	10.3142182	9.208994081	6.975234812	5.951342248
Fbxo5	8.080293263	9.89733687	8.90784366	5.830283369	5.1310195
Aldh18a1	9.418247412	8.100880461	7.330710454	6.893538407	6.476650984
Gimap4	11.03997065	8.141301762	6.8558131	7.86211987	8.1010183
Lig1	8.503036256	10.63398036	10.18661256	6.012052319	5.565295257
Rras2	9.870542081	7.963179239	9.12265352	8.250527299	6.933590225
2310033E01Rik	5.541486083	3.48577085	3.196406167	3.135900575	2.606613283
Rpo1-2	7.984982624	7.276342904	6.824402157	6.092835425	5.054291724
Espl1	7.372839649	8.868558097	8.368276308	5.909420392	4.453378946
Slc43a1	6.600538015	6.897492676	7.30862413	4.569386611	3.688026733
Capsl	5.260201626	6.026663131	3.17411289	2.414230669	2.369558672
Ppat	6.866282763	7.359717524	6.779446093	4.469903818	3.987783368
Wdr77	7.507437979	7.339909122	6.556297413	5.545469308	4.634973629
Mad2l1	8.835887017	10.63039064	10.16185924	7.538789478	5.971105803
9230117N10Rik	7.582841267	7.741286115	6.741878931	5.061008205	4.718829559
Fshprh1	6.249662654	8.387670053	7.558109532	4.879144876	3.390638391
Ddc	6.721063279	4.442573158	2.790698507	4.117496076	3.863066504
Cd2	9.642576692	6.85465418	5.050669736	6.975237752	6.786141617
Serpinb6b	6.999663131	4.697887312	3.600113316	3.920681489	4.145193306
Nola1	9.634901763	9.950824087	9.460070246	7.826446046	6.787343612
affy_1443026_at	5.984022098	4.430291333	3.739635219	3.292632948	3.136890699
Bcl11a	7.992535758	6.325591979	6.050419236	5.638265448	5.153617116
3000004C01Rik	6.788355983	8.716646728	7.775084276	5.885813552	3.965742823
Mnd1	5.562006068	6.198092513	5.452183849	3.447886468	2.76342791
2610528E23Rik	8.357180352	8.646803687	7.808392998	6.387377157	5.55999144
2610036L11Rik	5.998300007	7.621616922	7.439978649	5.249849197	3.203798518
Drr1	8.366671122	4.888903464	4.474812514	4.953324412	5.57637217
Wdr34	7.236120815	6.906595711	6.125011274	5.532330413	4.448256833
Irs1	6.708155983	3.90326565	3.951713118	3.886704473	3.922673602
Dut	6.791889332	8.328491517	7.350967545	4.594474561	4.009309639
Pcp4	6.863605606	6.634271348	4.889856219	4.578483753	4.084383073
Rad1	7.703919361	7.495316986	6.960002119	5.63617984	4.928684891
Cdca2	6.956360417	8.408900114	7.409499681	5.297771392	4.181259247
Cd19	11.48857867	10.20820854	9.39174382	9.326319579	8.716281551
1700019H03Rik	8.8852331	5.993989727	5.541690116	6.38067256	6.119125585
AI449310	5.434285517	2.991768658	2.980363199	3.467421095	2.671801502
E2f7	5.658902552	8.527291436	7.25295784	3.456784417	2.900937503
Ctps	9.544319754	10.72233283	10.17698151	7.500966803	6.790213592
Shmt2	8.9150607	9.416006585	8.960544268	7.311493983	6.165759548
Pold1	8.222854319	8.587628853	8.496113441	6.041383495	5.47448949
Xrcc5	8.13125952	8.067598306	6.979925453	6.385941523	5.385986504
C1qbp	11.39766681	11.35364299	10.54749218	9.543918176	8.657787274
Rnu65	8.763397174	8.108814359	7.501414174	6.698035846	6.025662192
Spag5	6.64263519	7.101877211	6.811007603	5.108413585	3.905863425
Dbp	6.524392831	4.604152704	4.30705721	4.038252078	3.789721005
E2f2	7.103395544	7.408939213	6.954650857	4.655690118	4.370228897
Gas2	6.513797322	7.298819041	7.03939443	5.021354893	3.781162024
affy_1457549_at	7.613511932	3.685237073	4.243114841	4.38806645	4.886231935
Prkaa2	6.053645782	5.000364041	3.954558004	3.815005151	3.327379127
Ttk	5.951972817	8.004439109	6.742937321	4.398521573	3.226087061
4930513E20Rik	7.757415406	8.293156678	7.936919737	5.24200466	5.032115281
Praf1	7.683429305	6.819772681	6.887134251	6.031338601	4.967090242
Tube1	5.925897681	6.504754384	6.010304784	4.160121988	3.210786824
Rcl1	8.592206128	8.669704667	8.007220078	6.854808493	5.880529701
Bckdhb	8.942401679	8.669886894	7.960412698	7.167198881	6.236684555
Cdca7l	9.229603194	8.505878901	7.578284709	6.778346768	6.523889689
2610040C18Rik	7.550620632	7.853286516	7.49017772	5.641338243	4.851214813
Cd37	11.44979689	9.226732378	8.376436596	9.341972859	8.75446007
Nolc1	8.037446131	7.701619214	6.915776072	5.731683961	5.34248335
4632434I11Rik	6.74461991	8.057527592	7.603828291	4.889781141	4.053204128
Ppil5	5.58044136	6.325632364	6.157513535	4.593124056	2.889537947
Gtse1	8.26966436	7.904212642	7.939048228	5.828208963	5.579632284
6720463M24Rik	7.761952002	8.424916966	7.726264654	6.101677859	5.074283414
Kcnq5	7.044745998	7.747557186	8.157150752	5.65108189	4.358438103
Bex6	5.707796513	3.941753786	2.671106593	3.758715907	3.027236069
Pold2	8.604808084	9.66743398	8.772424637	6.980350593	5.926116239
